epoch,accuracy,loss,val_accuracy,val_loss
0,0.37199003,1.329165271633126,0.4322766661643982,1.2851627295573782
1,0.64212567,1.0055306154771622,0.6657060384750366,0.9243851350432514
2,0.7918627,0.5943058072085398,0.7089337110519409,0.787015309251351
3,0.84611124,0.41978916686689166,0.6829971075057983,0.80234285562114
4,0.872682,0.3333507661356874,0.7118155360221863,0.8615091286749936
5,0.91115415,0.26681384161308536,0.6887608170509338,0.8956996207622011
6,0.92443955,0.22303721468731733,0.6974063515663147,0.9201067136412738
7,0.94326043,0.18281353063574135,0.6714697480201721,0.9935411195933647
8,0.9529477,0.15085110282785769,0.6743515729904175,1.063168249831076
9,0.9615278,0.13300555727297403,0.6829971075057983,1.108989928572597
10,0.963742,0.11869086342078314,0.680115282535553,1.1469256613371352
11,0.970108,0.10670332933747469,0.6685879230499268,1.2543290887854628
12,0.96955436,0.09974426156079509,0.6657060384750366,1.2887420666320866
13,0.9745364,0.09068201377125878,0.6657060384750366,1.3363051490069122
14,0.9745364,0.08274303527212262,0.6714697480201721,1.3637487503568446
15,0.97619706,0.07976164402161283,0.6829971075057983,1.3928845837411687
16,0.97481316,0.07532743770456977,0.6685879230499268,1.4233392975172323
17,0.9753667,0.07528798958586172,0.6685879230499268,1.472552661936977
18,0.97730416,0.07091464805052018,0.6685879230499268,1.4917066895996116
19,0.97647387,0.06757719551852097,0.6743515729904175,1.5656257421207702
20,0.9784113,0.0708165998781219,0.6743515729904175,1.5370464692541776
21,0.97647387,0.0692935580490304,0.6714697480201721,1.565198563361374
22,0.97868806,0.057208043731153096,0.6743515729904175,1.6724534306127674
23,0.9778577,0.06224003871152713,0.6685879230499268,1.668413820115565
24,0.97979516,0.057572992483487496,0.6685879230499268,1.6390219658870862
